category,subcategories,code,name,price,url,option_name,options,option_prices
센서,릴레이/스위치,D-104,택트 스위치 버튼 모듈 KY-004,770,https://eduino.kr/product/detail.html?product_no=991&cate_no=1092&display_group=1,,,
센서,릴레이/스위치,D-46,아두이노 4x4 매트릭스 키패드 버튼 모듈,1100,https://eduino.kr/product/detail.html?product_no=123&cate_no=1092&display_group=1,,,

센서,모터/제어,D-61,아두이노 SG90 서보모터 180도,2200,https://eduino.kr/product/detail.html?product_no=114&cate_no=1008&display_group=1,,,
센서,모터/제어,D-55,아두이노 로봇용 DC모터 바퀴 세트,3500,https://eduino.kr/product/detail.html?product_no=196&cate_no=1008&display_group=1,,,
센서,모터/제어,D-51,아두이노 2채널 모터 드라이버 모듈,1500,https://eduino.kr/product/detail.html?product_no=186&cate_no=1092&display_group=1,,,
센서,모터/제어,D-75,아두이노 N20 6V 소형 기어드 DC모터 기어비 선택,4400,https://eduino.kr/product/detail.html?product_no=756&cate_no=1092&display_group=1,기어비,50RPM|100RPM|300RPM,50RPM:0|100RPM:1100|300RPM:2200
센서,모터/제어,D-40,아두이노 MG90S 360도 메탈기어 서보모터,5500,https://eduino.kr/product/detail.html?product_no=1920&cate_no=1092&display_group=1,,,

센서,통신,D-1,아두이노 블루투스 HC-06 모듈,5500,https://eduino.kr/product/detail.html?product_no=27&cate_no=1092&display_group=1,,,
센서,통신,D-7,아두이노 RFID-RC522 리더기 모듈 세트,2200,https://eduino.kr/product/detail.html?product_no=219&cate_no=1023&display_group=1,,,
센서,통신,D-9,아두이노 적외선 리모컨 세트,1800,https://eduino.kr/product/detail.html?product_no=83&cate_no=1023&display_group=1,,,

센서,LED/네오픽셀,D-13,아두이노 3색 RGB LED 모듈,880,https://eduino.kr/product/detail.html?product_no=69&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-29,아두이노 0.56인치 7세그먼트 FND Cathode,220,https://eduino.kr/product/detail.html?product_no=205&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-102,아두이노 3색 RGB LED 신호등 모듈,770,https://eduino.kr/product/detail.html?product_no=613&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-35,아두이노 8x8 도트 매트릭스 MAX7219 모듈,2800,https://eduino.kr/product/detail.html?product_no=367&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-96,아두이노 네오픽셀 8비트 RGB LED 원형 WS2812,3300,https://eduino.kr/product/detail.html?product_no=607&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-32,아두이노 32x8 도트 매트릭스 LED 5핀제어 MAX7219 모듈,6600,https://eduino.kr/product/detail.html?product_no=340&cate_no=1031&display_group=1,,,
센서,LED/네오픽셀,D-97,아두이노 네오픽셀 12비트 RGB LED 원형 WS2812,6600,https://eduino.kr/product/detail.html?product_no=608&cate_no=1092&display_group=1,,,
센서,LED/네오픽셀,D-31,아두이노 시계형 7세그먼트 4칸 FND,1500,https://eduino.kr/product/detail.html?product_no=403&cate_no=1092&display_group=1,,,

센서,소리/영상,E-31,아두이노 수동 부저 / 피에조 부저,550,https://eduino.kr/product/detail.html?product_no=237&cate_no=62&display_group=1,,,
센서,소리/영상,E-33,아두이노 수동 부저 모듈 / 피에조 부저 모듈,1650,https://eduino.kr/product/detail.html?product_no=453&cate_no=62&display_group=1,,,

센서,가속도/자이로,C-31,아두이노 기울기센서 6축 가속도+자이로 MPU-6050,3500,https://eduino.kr/product/detail.html?product_no=54&cate_no=60&display_group=1,,,

전자부품,IC/기본소자,E-14,아두이노 5파이(5mm) LED,110,https://eduino.kr/product/detail.html?product_no=202&cate_no=76&display_group=1,색상,빨강색|노랑색|파랑색|초록색|백색,
전자부품,IC/기본소자,E-92,아두이노 12x12 택트 스위치,220,https://eduino.kr/product/detail.html?product_no=310&cate_no=76&display_group=1,,,
전자부품,IC/기본소자,E-93,아두이노 택트스위치 12x12용 원형 캡 (7가지 색상 선택),150,https://eduino.kr/product/detail.html?product_no=311&cate_no=76&display_group=1,색상,빨강|파랑|초록|노랑|흰색|회색|검정,
전자부품,IC/기본소자,E-13,아두이노 RGB 3색 LED (4핀) 센서,330,https://eduino.kr/product/detail.html?product_no=286&cate_no=76&display_group=1,,,
전자부품,IC/기본소자,E-36,아두이노 로터리형 15파이 가변저항 10K / 포텐셔미터,880,https://eduino.kr/product/detail.html?product_no=319&cate_no=76&display_group=1,,,

전자부품,주변부품,E-27,아두이노 3핀 슬라이드 스위치,330,https://eduino.kr/product/detail.html?product_no=243&cate_no=68&display_group=1,,,
전자부품,주변부품,E-63,아두이노 초음파센서 HC-SR04 브라켓,2000,https://eduino.kr/product/detail.html?product_no=240&cate_no=68&display_group=1,,,
전자부품,주변부품,E-151,아두이노 15파이 가변저항용 노브 손잡이,1100,https://eduino.kr/product/detail.html?product_no=1119,,,

전자부품,브레드보드,E-83,미니 브레드보드 170홀 (5색),400,https://eduino.kr/product/detail.html?product_no=166&cate_no=70&display_group=1,색상,검정색|흰색|녹색|빨간색|파란색,
전자부품,브레드보드,E-80,아두이노 브레드보드 400홀(불투명),2200,https://eduino.kr/product/detail.html?product_no=43&cate_no=70&display_group=1,,,
전자부품,브레드보드,E-82,아두이노 브레드보드 830홀(불투명),3500,https://eduino.kr/product/detail.html?product_no=90&cate_no=70&display_group=1,,,

전자부품,케이블,E-52,아두이노 우노용 USB-B 케이블 1.5m,3300,https://eduino.kr/product/detail.html?product_no=279&cate_no=71&display_group=1,,,
전자부품,케이블,E-57,아두이노 듀에용 micro-USB 케이블 1.5m,3300,https://eduino.kr/product/detail.html?product_no=473&cate_no=71&display_group=1,,,
전자부품,케이블,E-49,아두이노 점퍼케이블 수-수 10cm 40핀,2500,https://eduino.kr/product/detail.html?product_no=342&cate_no=71&display_group=1,,,
전자부품,케이블,E-47,아두이노 점퍼케이블 암-수 10cm 40핀,2500,https://eduino.kr/product/detail.html?product_no=102&cate_no=71&display_group=1,,,
전자부품,케이블,E-45,아두이노 점퍼케이블 수-수 20cm 40핀,3000,https://eduino.kr/product/detail.html?product_no=50&cate_no=71&display_group=1,,,
전자부품,케이블,E-44,아두이노 점퍼케이블 암-수 20cm 40핀,3000,https://eduino.kr/product/detail.html?product_no=49&cate_no=71&display_group=1,,,

전자부품,배터리/전원,E-62,아두이노 보드 전원 공급용 9V 1A 아답터 / 어댑터,12500,https://eduino.kr/product/detail.html?product_no=262&cate_no=79&display_group=1,,,
전자부품,배터리/전원,E-150,아두이노 1.5V AA 3칸 배터리 홀더 덮개 케이스형 (ph2.0 커넥터 부착형),5500,https://eduino.kr/product/detail.html?product_no=914&cate_no=1092&display_group=1,,,
